"","site","collection_date","YYYYMMDD","quadrat","plant","rhi_length","node1","node2","node3","node4","node5","leaf_length1","leaf_length2","leaf_length3","leaf_length4","leaf_length5","leaf_length6","leaf_length7","leaf_length8","leaf_length9","leaf_length10","leaf_width1","leaf_width2","leaf_width3","leaf_width4","leaf_width5","leaf_width6","leaf_width7","leaf_width8","leaf_width9","leaf_width10","rhi_mass_fw","shoot_mass_fw","xs_shoot_mass_fw","iso_count","iso_fw","gamm_amph_count","gamm_amph_fw","caprel_count","caprel_fw","limpet_count","limpet_fw","gastropod_count","gastropod_fw","crab_count","crab_fw","polychaete_count","other_animal_notes","notes","epiphyte_mass_dw","rhi_mass_dw","shoot_mass_dw","xs_shoot_mass_dw","xs_pad_mass_dw","iso_mass_dw","gamm_amph_mass_dw","caprel_mass_dw","limpet_mass_dw","gastropod_mass_dw","crab_mass_dw","leaf_area1","na.rm","leaf_area2","leaf_area3","leaf_area4","leaf_area5","leaf_area6","leaf_area7","leaf_area8","leaf_area9","leaf_area10","tot_leaf_area","mean_canopy_height"
"1","2017_H_01","29/4/17",20170429,"1","1",5,0.5,0.4,0.3,0.2,0.2,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.2266,0.2687,4.7732,NA,NA,3,0.0059,NA,NA,NA,NA,NA,"",NA,NA,6,"","",0.00609999999999999,0.0256999999999999,0.0389999999999999,0.5913,NA,NA,0.00189999999999996,NA,NA,NA,NA,6.63,TRUE,3.78,2.9,1.28,2.66,NA,NA,NA,NA,NA,17.25,15.04
"2","2017_H_01","29/4/17",20170429,"1","2",5,0.7,0.4,0.3,0.3,0.3,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,0.4884,0.4123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.000900000000000012,0.0508,0.0629,NA,NA,NA,NA,NA,NA,NA,NA,7.56,TRUE,5.28,6.6,4.47,2.4,0.72,NA,NA,NA,NA,27.03,15.2166666666667
"3","2017_H_01","29/4/17",20170429,"1","3",5,0.3,0.3,0.4,0.3,0.2,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.3458,0.1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00629999999999997,0.0397,0.0247000000000001,NA,NA,NA,NA,NA,NA,NA,NA,3.28,TRUE,1.96,2.82,1.88,NA,NA,NA,NA,NA,NA,9.94,12.425
"4","2017_H_01","29/4/17",20170429,"1","4",4.6,0.4,0.4,0.3,0.4,0.2,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.3971,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00240000000000001,0.0352,0.0489000000000001,NA,NA,NA,NA,NA,NA,NA,NA,6.3,TRUE,3.6,1.7,3.4,3.3,NA,NA,NA,NA,NA,18.3,16.2
"5","2017_H_01","29/4/17",20170429,"1","5",5,0.2,0.2,0.3,0.2,0.3,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.4551,0.1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00429999999999997,0.0364,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,2.6,TRUE,2.72,1.92,NA,NA,NA,NA,NA,NA,NA,7.24,12.0666666666667
"6","2017_H_01","29/4/17",20170429,"2","1",4.6,1.2,0.6,0.4,0.3,0.3,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,0.8057,0.8043,1.5161,NA,NA,21,0.036,NA,NA,NA,NA,NA,"",NA,NA,7,"1 clam","",0.005,0.0718,0.1486,0.1692,NA,NA,0.00479999999999997,NA,NA,NA,NA,12.96,TRUE,8.84,10,10.92,2.48,1.84,1.8,NA,NA,NA,48.84,19.2
"7","2017_H_01","29/4/17",20170429,"2","2",4,0.3,0.3,0.2,0.2,0.2,23,12.3,16.1,9.3,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,0.335,0.2922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00650000000000006,0.0421,0.0419,NA,NA,NA,NA,NA,NA,NA,NA,4.6,TRUE,2.46,3.22,1.86,4.65,NA,NA,NA,NA,NA,16.79,15.24
"8","2017_H_01","29/4/17",20170429,"2","3",5,0.3,0.2,0.2,0.2,0.3,16.5,21.1,22.7,8.7,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,0.3151,0.3015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00639999999999996,0.0378,0.0427,NA,NA,NA,NA,NA,NA,NA,NA,3.3,TRUE,4.22,4.54,1.74,4.65,NA,NA,NA,NA,NA,18.45,16.9
"9","2017_H_01","29/4/17",20170429,"2","4",5,0.5,0.6,0.4,0.3,0.2,26,21.1,20.2,10.2,17.5,NA,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.2,NA,NA,NA,NA,NA,0.4294,0.3661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0071,0.0499,0.0568,NA,NA,NA,NA,NA,NA,NA,NA,7.8,TRUE,4.22,6.06,3.06,3.5,NA,NA,NA,NA,NA,24.64,19
"10","2017_H_01","29/4/17",20170429,"2","5",3.6,0.4,0.6,0.4,0.2,0.2,26.5,18.1,25.7,11.3,22.7,NA,NA,NA,NA,NA,0.4,0.3,0.3,0.3,0.4,NA,NA,NA,NA,NA,0.4352,0.5658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00700000000000001,0.0682,0.0875,NA,NA,NA,NA,NA,NA,NA,NA,10.6,TRUE,5.43,7.71,3.39,9.08,NA,NA,NA,NA,NA,36.21,20.86
